Name,Lat,Lng,Rating,Uers_total_rating,Address,Hotness
Europa Melbourne,-37.811394,144.959326,3.7,414,"310-314 Queen St, Melbourne VIC 3000",1531.8
City Tempo,-37.814455,144.954124,4.4,341,"618 Lonsdale St, Melbourne VIC 3000",1500.4
ibis Melbourne Central,-37.812047,144.96021,4.4,341,"399 Little Lonsdale St, Melbourne VIC 3000",1500.4
Novotel Melbourne Central,-37.811914,144.960071,4.3,341,"399 Little Lonsdale St, Melbourne VIC 3000",1466.3
Melbourne City Backpackers,-37.815574,144.955076,3.8,385,"197-199 King St, Melbourne VIC 3000",1463
The Best Western Plus Travel Inn Hotel,-37.800563,144.96814,4.1,353,"225 Drummond St, Carlton VIC 3053",1447.3
CitiClub Hotel Melbourne,-37.815748,144.960836,3.4,411,"113 Queen St, Melbourne VIC 3000",1397.4
Mercure Melbourne Therry Street,-37.807063,144.960681,3.8,363,"43 Therry St, Melbourne VIC 3000",1379.4
Quality Hotel Carlton Melbourne,-37.782887,144.958864,3.7,370,"441 Royal Parade, Parkville VIC 3052",1369
Tribeca Serviced Apartments,-37.810055,144.985443,3.4,401,"9c/166 Albert St, East Melbourne VIC 3002",1363.4
Adara Richmond,-37.8175,144.995,4.1,323,"185 Lennox St, Richmond VIC 3121",1324.3
Mercure North Melbourne,-37.796791,144.950317,3.7,357,"Cnr Flemington Road &, Harker St, North Melbou...",1320.9
Somerset on Elizabeth Melbourne,-37.812727,144.962729,4.1,322,"250 Elizabeth St, Melbourne VIC 3000",1320.2
Hotel Sophia,-37.813675,144.9542,2.9,455,"277-287 King St, Melbourne VIC 3000",1319.5
Quest Docklands Apartment Hotel,-37.818472,144.947659,4.3,286,"750 Bourke St, Melbourne VIC 3008",1229.8
Arise Australia 108,-37.823172,144.963956,4,301,"70 Southbank Blvd, Southbank VIC 3006",1204
Punthill Apartment Hotels ,-37.810993,144.968847,4,290,"11/17 Cohen Pl, Melbourne VIC 3000",1160
Arrow On Swanston,-37.805564,144.963378,3.2,344,"488 Swanston St, Carlton VIC 3053",1100.8
YTI Garden Hotel,-37.813515,144.961548,3.5,313,"378 Little Bourke St, Melbourne VIC 3000",1095.5
Alto Hotel on Bourke,-37.816383,144.954733,4.4,245,"636 Bourke St, Melbourne VIC 3000",1078
Alto Hotel on Bourke,-37.816383,144.954733,4.4,245,"636 Bourke St, Melbourne VIC 3000",1078
Melbourne Metropole Central,-37.806269,144.977478,4.1,261,"44 Brunswick St, Fitzroy VIC 3065",1070.1
WRAP on Southbank,-37.823481,144.963713,4.2,253,"133-139 City Rd, Southbank VIC 3006",1062.6
Quest on William,-37.814881,144.958053,3.5,303,"172 William St, Melbourne VIC 3000",1060.5
Quest on William,-37.814881,144.958053,3.5,303,"172 William St, Melbourne VIC 3000",1060.5
Empire Apartments,-37.809322,144.961332,3.6,289,"81 A'Beckett St, Melbourne VIC 3000",1040.4
Royal Derby Hotel,-37.79362,144.979569,4.1,243,"446 Brunswick St, Fitzroy VIC 3065",996.3
Quest Southbank,-37.822758,144.966444,4.1,238,"14 Kavanagh St, Southbank VIC 3006",975.8
Adara Franklin,-37.808405,144.959036,3.5,265,"118 Franklin St, Melbourne VIC 3000",927.5
NOTEL,-37.817986,144.961053,4.5,202,"388 Flinders Ln, Melbourne VIC 3000",909
Riverside Apartments Melbourne,-37.819621,144.958113,3.7,239,"474 Flinders St, Melbourne VIC 3000",884.3
Richmond Hill Hotel,-37.823013,144.998818,3.9,222,"353 Church St, Richmond VIC 3121",865.8
Causeway Inn On The Mall,-37.81435,144.964187,3.6,234,"327 Bourke St, Melbourne VIC 3000",842.4
Arden Motel,-37.801533,144.951981,3.8,220,"15 Arden St, North Melbourne VIC 3051",836
Quest Flemington Central,-37.786812,144.921337,4.3,192,"1 Ascot Vale Rd, Flemington VIC 3031",825.6
Melbourne SkyHigh Apartments,-37.818528,144.955612,4,206,"568 Collins St, Melbourne VIC 3000",824
Melbourne SkyHigh Apartments,-37.818528,144.955612,4,206,"568 Collins St, Melbourne VIC 3000",824
The Nunnery Accommodation,-37.802217,144.974417,4.1,199,"116 Nicholson St, Fitzroy VIC 3065",815.9
City Limits Hotel,-37.810452,144.971811,4.2,187,"Little Bourke St, Melbourne VIC 3000",785.4
Hotel Collins,-37.815013,144.967503,3.7,212,"182 Collins St, Melbourne VIC 3000",784.4
"Quest NewQuay, Docklands",-37.814367,144.94102,4.4,177,"26 Caravel Ln, Docklands VIC 3008",778.8
Hotel Spencer Bar & Grill,-37.809554,144.949272,4.6,168,"475 Spencer St, West Melbourne VIC 3003",772.8
City Centre Budget Hotel,-37.812468,144.972771,3.7,205,"22 Little Collins St, Melbourne VIC 3000",758.5
Central Club Hotel,-37.805929,144.958134,4.2,180,"246 Victoria St, North Melbourne VIC 3051",756
City Square Motel,-37.815961,144.966504,3.7,194,"67 Swanston St, Melbourne VIC 3000",717.8
Quest on Dorcas,-37.830053,144.970198,4.4,161,"8 Dorcas St, Southbank VIC 3006",708.4
Baden Powell Hotel,-37.808735,144.984985,3.7,191,"61-65 Victoria Parade, Collingwood VIC 3066",706.7
Docklands Private Collection - City Harbour,-37.813856,144.944702,4.4,158,"7/198 Harbour Esplanade, Docklands VIC 3008",695.2
Elizabeth Hostel,-37.807369,144.96022,2.8,236,"494 Elizabeth St, Melbourne VIC 3000",660.8
"Metro Apartments on Bank Place, Melbourne",-37.816421,144.960539,3.7,177,"18 Bank Pl, Melbourne VIC 3000",654.9
Flagstaff City Inn,-37.810116,144.951048,3.2,204,"45 Dudley St, West Melbourne VIC 3003",652.8
Park Squire Motor Inn & Serviced Apartments,-37.788639,144.942026,3.7,176,"94 Flemington Rd, Parkville VIC 3052",651.2
City Edge on Elizabeth Apartment Hotel,-37.809235,144.960543,3.5,184,"100 A'Beckett St, Melbourne VIC 3000",644
Punthill Apartment Hotels | Flinders Lane,-37.816982,144.96553,3.7,172,"267 Flinders Ln, Melbourne VIC 3000",636.4
BreakFree on Collins Melbourne,-37.816004,144.966166,3.5,176,"Level 6/233 Collins St, Melbourne VIC 3000",616
BreakFree on Collins Melbourne,-37.816004,144.966166,3.5,176,"Level 6/233 Collins St, Melbourne VIC 3000",616
City Tempo - SouthbankONE,-37.823921,144.962037,4.3,143,"180 City Rd, Southbank VIC 3006",614.9
Waterfront Melbourne Apartments,-37.822843,144.952365,4.7,123,"60 Siddeley St, Docklands VIC 3008",578.1
Waterfront Melbourne Apartments,-37.822843,144.952365,4.7,123,"60 Siddeley St, Docklands VIC 3008",578.1
Carlton Lygon Lodge,-37.801868,144.967,4.2,133,"220 Lygon St, Carlton VIC 3053",558.6
Quest on Lonsdale,-37.809894,144.970899,3.1,179,"43 Lonsdale St, Melbourne VIC 3000",554.9
Brady Hotels Jones Lane,-37.809451,144.968592,4.5,120,"111 Little Lonsdale St, Melbourne VIC 3000",540
Platinum City Serviced Apartments,-37.810962,144.959802,3.8,137,"327 La Trobe St, Melbourne VIC 3000",520.6
Tankerville Hotel,-37.798137,144.975084,3.6,144,"230 Nicholson St, Fitzroy VIC 3065",518.4
Ink Hotel Melbourne Southbank,-37.824394,144.962517,4.5,113,"167 City Rd, Southbank VIC 3006",508.5
RNR Serviced Apartments North Melbourne,-37.802393,144.952279,4.2,121,"139 Chetwynd St, North Melbourne VIC 3051",508.2
Arrow on Spencer,-37.813194,144.95185,3.4,148,"585 La Trobe St, Melbourne VIC 3000",503.2
Avani Melbourne Central Residences,-37.80888,144.961485,4.3,117,"60 A'Beckett St, Melbourne VIC 3000",503.1
Bev & Micks Backpackers,-37.807326,144.946981,3.9,128,"575 Spencer St, West Melbourne VIC 3003",499.2
Melbourne Carlton Central Apartment Hotel,-37.803802,144.96694,3.8,131,"2-9 Finlay Pl, Carlton VIC 3053",497.8
The Footscray Hotel,-37.8003,144.905089,4.6,107,"48 Hopkins St, Footscray VIC 3011",492.2
Nate's Place Backpackers Melbourne,-37.809509,144.94931,3.7,132,"475 Spencer St, West Melbourne VIC 3003",488.4
Flinders Landing Apartments,-37.816004,144.969107,4.2,111,"161 Flinders Ln, Melbourne VIC 3000",466.2
City Edge North Melbourne Apartment Hotel,-37.803232,144.956768,3.8,120,"188 Peel St, North Melbourne VIC 3051",456
City Edge North Melbourne Apartment Hotel,-37.803232,144.956768,3.8,120,"188 Peel St, North Melbourne VIC 3051",456
Shadow Play Melbourne by Peppers,-37.827077,144.958086,4.4,99,"308 320 City Rd, Southbank VIC 3000",435.6
The Village Melbourne,-37.808959,144.959167,3.3,132,"167 Franklin St, Melbourne VIC 3000",435.6
IFSuites Upper West Side,-37.815586,144.95306,4.3,101,"647 Lonsdale St, Melbourne VIC 3000",434.3
Melrose Apartments,-37.790816,144.942146,4.4,96,"171 Melrose St, North Melbourne VIC 3051",422.4
Magnolia Court,-37.813461,144.985487,3.4,124,"101 Powlett St, East Melbourne VIC 3002",421.6
Quest East Melbourne,-37.816595,144.988615,4.1,98,"48 Wellington Parade, East Melbourne VIC 3002",401.8
Turnkey Accommodation,-37.800576,144.955704,4.9,79,"33 Blackwood St, North Melbourne VIC 3051",387.1
Turnkey Accommodation,-37.800576,144.955704,4.9,79,"33 Blackwood St, North Melbourne VIC 3051",387.1
ACD Apartments,-37.814018,144.941935,4.1,91,"7 Caravel Ln, Docklands VIC 3008",373.1
Georgian Court Bed and Breakfast,-37.815876,144.989385,3.3,112,"21 George St, East Melbourne VIC 3002",369.6
City CYC,-37.818126,144.956223,4.3,85,"538 Collins St, Melbourne VIC 3000",365.5
Hotel Causeway,-37.814789,144.965263,3.3,110,"275 Little Collins St, Melbourne VIC 3000",363
Zagame's House,-37.805081,144.966477,4.4,79,"66 Lygon St, Carlton VIC 3053",347.6
Imagine Lighthouse,-37.80837,144.960767,3.8,90,"442-450 Elizabeth St, Melbourne VIC 3000",342
Albert Heights Serviced Apartments,-37.810813,144.98524,3.8,87,"83 Albert St, East Melbourne VIC 3002",330.6
Arise The Eminence,-37.804783,144.963941,4.3,70,"145 Queensberry St, Carlton VIC 3053",301
Clocktower Apartment Hotel,-37.800069,144.968366,3.9,77,"Shop 27/255 Drummond St, Carlton VIC 3053",300.3
Urban Modern Apartments,-37.818376,144.955436,3.6,82,"UNIT 1410/568 Collins St, Melbourne VIC 3000",295.2
Southern Cross Serviced Apartments,-37.816228,144.953247,4.1,65,"200 Spencer St, Melbourne VIC 3000",266.5
Quest Jolimont,-37.816736,144.979571,4.3,60,"153-155 Wellington Parade S, East Melbourne VI...",258
Hilton Melbourne Little Queen Street,-37.814764,144.95951,4.7,54,"18 Little Queen St, Melbourne VIC 3000",253.8
381 Cremorne Aparthotel,-37.825492,144.988908,4.3,58,"381 Punt Rd, Cremorne VIC 3121",249.4
Melbourne Holiday Apartments Flinders Wharf,-37.822683,144.952368,4.7,53,"17b/60 Siddeley St, Docklands VIC 3008",249.1
Vibe Hotel Melbourne,-37.818823,144.962002,4.5,52,"1 Queen St, Melbourne VIC 3000",234
The Hamptons Apartments - Port Melbourne Apart...,-37.841555,144.937574,4.4,53,"45 Nott St, Port Melbourne VIC 3207",233.2
Alston Apartments Hotel,-37.797234,144.969877,3.9,54,"138 Elgin St, Carlton VIC 3053",210.6
Southbank Apartments,-37.820679,144.967551,4.3,48,"28 Southgate Ave, Southbank VIC 3006",206.4
Adina Apartment Hotel Melbourne Southbank,-37.822559,144.964783,4.9,42,"99 City Rd, Southbank VIC 3006",205.8
Melbourne Connection,-37.815388,144.954926,2.1,95,"205 King St, Melbourne VIC 3000",199.5
Spencer Street Serviced Apartments Melbourne,-37.811268,144.950761,4.5,43,"392 Spencer St, West Melbourne VIC 3003",193.5
The Town Apartments,-37.812104,144.965697,3.9,48,"6 Tattersalls Ln, Melbourne VIC 3000",187.2
Accent Accommodation,-37.814086,144.941759,4.4,42,"13 Caravel Ln, Docklands VIC 3008",184.8
Winston Apartments,-37.821001,144.941543,3.9,36,"889 Collins St, Docklands VIC 3008",140.4
District Apartments - Fitzroy,-37.798012,144.981167,4.5,31,"160 Argyle St, Fitzroy VIC 3065",139.5
AKOM AT DOCKLANDS,-37.814722,144.941794,4.1,34,"28 St Mangos Ln, Docklands VIC 3008",139.4
Melbourne Hotel CBD,-37.815327,144.95454,3.7,37,"600 Little Bourke St, Melbourne VIC 3000",136.9
Quincy Hotel Melbourne,-37.819566,144.956982,4.7,29,"509 Flinders Ln, Melbourne VIC 3000",136.3
Quincy Hotel Melbourne,-37.819566,144.956982,4.7,29,"509 Flinders Ln, Melbourne VIC 3000",136.3
