,name,rate,reviews_num,type,price_level,review,lat,lng,subtype,hotness
67,Ludlow Bar & Dining Room,3.9,687,"Bar, Australian",$$ - $$$,“... Salmon nicoise salad Fish and ships...”,-37.820667,144.963784,Australian,3366.3
68,The Breslin Bar & Grill,4.3,623,Australian,$$ - $$$,"“Our mains of salmon,mash and greens for...”",40.745568,-73.988089,Australian,3301.9
69,Piccolo Mondo,4,665,"Italian, Sicilian",$$ - $$$,"“... Bolognese, whereas hubby had Garlic Prawns and Fettucine Carbonara.”",-37.8015563,144.9671139,Italian,3325
70,St Ali Coffee Roasters,4.3,616,"Cafe, Australian",$$ - $$$,“Yummy Burger and salmon tartare”,-37.8312475,144.960354,Australian,3264.8
71,Bluetrain,4,660,"Contemporary, Australian",$$ - $$$,"“Superb, with great city views”",-37.8201184,144.9662684,Australian,3300
72,DOC Pizza & Mozzarella Bar,3.9,645,"Italian, Pizza",$$ - $$$,“Pasta heaven”,35.7126125,139.7773763,Italian,3160.5
73,Laksa King,4.5,547,Australian,$,"“Always delicious laksa, very authentic”",-37.7878851,144.9295518,Australian,3008.5
74,Shanghai Street,4.2,562,"Chinese, Asian",$,“Delicious dumplings that are freshly made on site - you can watch them make i...”,-37.8115563,144.9683296,Chinese,2922.4
75,Cecconi's Flinders Lane,4.5,521,"Italian, European",$$$$,“Simply the best! ❤️”,-37.8150555,144.9725293,Italian,2865.5
76,Berth,4.3,545,"Italian, European",$$ - $$$,“... Eye fillet steak and Atlantic salmo...”,-37.8151172,144.9418176,Italian,2888.5
77,P.J.O'Brien's Irish Pub,4.4,532,"Irish, Bar",$$ - $$$,"“... stew (which my wife had), to glorious Beef and Guinness pie (which I had).”",-37.8203722,144.9659504,Bar,2872.8
78,BearBrass,3.8,601,Australian,$$ - $$$,“Yum!!!”,-37.8201819,144.9658567,Australian,2884.8
79,Shark Fin Inn,4.1,557,"Chinese, Asian",$$ - $$$,“Loved the Peking Duck especially but also enjoyed our other dishes.”,-37.810704,144.9710032,Chinese,2840.7
80,MoVida Next Door,4.4,516,"Mediterranean, Spanish",$$ - $$$,“This wonderfully prepared tasting menu takes you on a journey of tapa dishes...”,-37.816802,144.96918,Mediterranean,2786.4
81,The Merrywell Melbourne,3.3,684,"American, Bar",$$ - $$$,“... better tasting wine at the Jackpot Bar later in the evening for half the ...”,-37.8235767,144.9566657,American,2941.2
82,Timeout Fed Square,4,564,"Bar, Cafe",$$ - $$$,“Could be better”,-37.8176674,144.9683312,Caf�,2820
83,Il Bacaro Cucina e Bar,4.6,490,"Italian, Mediterranean",$$$$,“My husband started with the crudo di tonno e ricciola - amazingly fresh seafo...”,-37.8138632,144.967994,Italian,2744
84,Rare Steakhouse Downtown,4.5,492,"Steakhouse, Australian",$$ - $$$,“We found the quality of the beef to be very high and they had an extensive wi...”,-37.8191552,144.9572031,Australian,2706
85,Cervo,3.4,649,"Italian, Pizza",$$ - $$$,“We are not into fine dining so this menu appealed to us & it also had a bit o...”,-37.823093,144.957826,Italian,2855.6
86,Mrs Parmas,4.3,508,"Bar, Australian",$$ - $$$,"“I really liked the veal parmi, and there is also chocked or eggplant.”",-37.810674,144.971958,Australian,2692.4
87,Bistrot d'Orsay,4.6,474,"Steakhouse, French",$$ - $$$,"“As starters, the carpaccio of tuna & Atlantic salmon and the scallops (three)...”",-37.815033,144.967453,French,2654.4
88,Caffe e Cucina,4.6,472,"Italian, Mediterranean",$$ - $$$,"“... the public's favorite dishes: Calamari Sant'Andrea, Linguine di Mare Cart...”",-37.8401884,144.9952627,Italian,2643.2
89,Il Tempo,4.3,500,"Italian, Pizza",$$ - $$$,"“Spent a lovely afternoon lounging around, eating pizza and enjoying the ambience”",-37.817435,144.9658814,Italian,2650
90,seamstress,4.4,481,Asian,$$ - $$$,"“... crab, peanut and prawn ruffed calamari and the mixed wok tossed green veg...”",-37.8105595,144.9690135,Malaysian,2597.4
